user_id,date,cheat_calories,sugar_g,fat_g,meal_type
U0089,2025-10-29,936,24,41,Breakfast
U0147,2025-11-02,874,58,34,Lunch
U0593,2025-11-12,716,29,39,Lunch
U0499,2025-11-17,839,27,46,Breakfast
U0659,2025-11-14,485,47,34,Dinner
U0101,2025-12-08,742,26,38,Lunch
U0703,2025-10-19,1134,41,19,Dinner
U0480,2025-11-19,907,37,33,Lunch
U0074,2025-10-21,407,48,23,Breakfast
U0980,2025-12-02,878,44,16,Dinner
U0489,2025-11-28,935,22,39,Breakfast
U0216,2025-11-17,704,24,28,Lunch
U0075,2025-11-01,760,41,22,Lunch
U0134,2025-11-20,992,45,18,Lunch
U0376,2025-11-04,1155,52,19,Breakfast
U0423,2025-11-26,487,52,20,Breakfast
U0294,2025-11-22,946,60,40,Breakfast
U0942,2025-11-08,812,58,24,Dinner
U0285,2025-12-05,793,47,25,Breakfast
U0004,2025-10-27,1180,35,41,Breakfast
U0831,2025-10-27,867,28,37,Dinner
U0847,2025-12-16,699,42,46,Breakfast
U0712,2025-12-11,488,38,34,Lunch
U0606,2025-11-11,461,58,21,Dinner
U0371,2025-11-05,651,47,28,Dinner
U0491,2025-12-03,547,41,48,Dinner
U0228,2025-11-22,943,23,22,Dinner
U0770,2025-11-25,1110,51,48,Breakfast
U0731,2025-12-13,1191,46,23,Dinner
U0385,2025-10-30,868,25,22,Dinner
U0376,2025-12-12,557,55,22,Lunch
U0365,2025-11-02,688,45,20,Dinner
U0833,2025-12-16,1059,60,38,Lunch
U0887,2025-11-24,444,47,28,Lunch
U0124,2025-11-22,477,54,27,Lunch
U0324,2025-10-23,798,25,47,Dinner
U0604,2025-12-07,567,35,25,Breakfast
U0698,2025-11-20,1190,46,16,Dinner
U0907,2025-11-28,646,52,43,Dinner
U0257,2025-12-07,773,46,25,Dinner
U0096,2025-10-29,926,34,36,Lunch
U0456,2025-10-25,408,26,39,Dinner
U0015,2025-12-01,956,24,21,Lunch
U0127,2025-12-03,451,32,15,Breakfast
U0221,2025-11-24,1050,41,44,Lunch
U0993,2025-12-16,745,49,37,Dinner
U0880,2025-11-08,873,57,32,Lunch
U0466,2025-11-21,634,42,31,Breakfast
U0356,2025-10-27,945,57,24,Breakfast
U0666,2025-11-16,886,50,28,Breakfast
U0131,2025-12-14,824,49,49,Breakfast
U0775,2025-12-16,896,57,37,Lunch
U0654,2025-10-19,807,49,42,Dinner
U0299,2025-10-30,1068,31,50,Breakfast
U0398,2025-12-03,801,22,40,Breakfast
U0609,2025-10-23,815,58,38,Lunch
U0853,2025-12-15,738,47,38,Breakfast
U0535,2025-11-04,903,52,49,Breakfast
U0747,2025-11-29,805,21,50,Dinner
U0752,2025-10-24,661,27,45,Breakfast
U0859,2025-12-04,738,44,39,Dinner
U0326,2025-11-21,896,49,32,Lunch
U0510,2025-12-10,472,27,34,Breakfast
U0290,2025-11-08,411,58,18,Breakfast
U0685,2025-11-03,496,56,24,Lunch
U0442,2025-11-06,1002,45,48,Dinner
U0196,2025-10-31,532,54,46,Dinner
U0478,2025-10-29,532,40,38,Dinner
U0228,2025-12-08,871,36,38,Dinner
U0922,2025-11-28,425,44,23,Lunch
U0446,2025-12-09,456,24,48,Breakfast
U0872,2025-11-18,477,29,29,Dinner
U0859,2025-10-19,413,56,23,Breakfast
U0328,2025-10-24,740,36,47,Lunch
U0595,2025-11-24,547,58,27,Dinner
U0168,2025-12-01,1074,35,38,Dinner
U0833,2025-10-21,1057,50,32,Breakfast
U0594,2025-10-26,679,42,27,Lunch
U0597,2025-12-16,590,40,32,Lunch
U0562,2025-12-14,736,35,22,Lunch
U0440,2025-11-09,974,34,38,Lunch
U0986,2025-12-01,558,22,34,Lunch
U0595,2025-11-08,954,60,25,Dinner
U0425,2025-12-01,1007,50,42,Dinner
U0209,2025-11-24,422,41,33,Lunch
U0781,2025-11-21,970,24,41,Lunch
U0198,2025-11-18,1167,60,30,Dinner
U0889,2025-12-07,1041,36,42,Dinner
U0145,2025-11-08,460,52,30,Dinner
U0832,2025-11-27,444,27,48,Lunch
U0415,2025-12-04,1146,21,17,Dinner
U0584,2025-12-05,1165,32,37,Breakfast
U0814,2025-10-24,1070,59,37,Dinner
U0893,2025-12-15,422,41,41,Lunch
U0983,2025-11-11,965,49,25,Lunch
U0343,2025-10-21,1196,29,46,Breakfast
U0215,2025-11-25,1193,53,41,Dinner
U0368,2025-11-22,731,39,31,Dinner
U0435,2025-11-30,656,42,30,Breakfast
U0036,2025-10-26,475,56,18,Dinner
U0217,2025-11-18,805,37,41,Breakfast
U0973,2025-11-25,1035,59,34,Lunch
U0221,2025-11-10,1135,21,19,Dinner
U0117,2025-12-09,799,48,28,Dinner
U0689,2025-11-23,657,59,17,Dinner
U0239,2025-11-30,671,52,48,Dinner
U0144,2025-11-21,691,49,46,Dinner
U0536,2025-12-12,1043,31,30,Dinner
U0780,2025-10-29,1161,52,17,Lunch
U0347,2025-12-01,958,31,30,Lunch
U0263,2025-10-23,1120,39,29,Breakfast
U0604,2025-11-01,818,56,33,Breakfast
U0295,2025-11-27,1051,51,28,Breakfast
U0583,2025-12-10,909,43,50,Dinner
U0350,2025-11-08,802,30,28,Dinner
U0912,2025-12-03,968,43,23,Breakfast
U0376,2025-11-20,534,59,40,Dinner
U0894,2025-12-01,843,21,25,Breakfast
U0795,2025-11-01,551,39,42,Dinner
U0559,2025-10-26,585,48,19,Breakfast
U0122,2025-11-15,992,55,29,Lunch
U0080,2025-10-21,413,58,30,Lunch
U0763,2025-11-09,714,37,33,Breakfast
U0747,2025-12-08,1080,27,26,Breakfast
U0480,2025-10-28,1154,48,36,Breakfast
U0562,2025-10-19,823,53,17,Lunch
U0584,2025-11-27,792,58,21,Dinner
U0007,2025-10-22,780,24,37,Breakfast
U0986,2025-10-30,759,30,48,Lunch
U0213,2025-12-17,779,21,22,Lunch
U0576,2025-11-05,835,35,17,Dinner
U0164,2025-10-20,745,52,15,Breakfast
U0844,2025-10-20,1185,50,40,Lunch
U0840,2025-11-04,925,32,46,Lunch
U0642,2025-11-22,960,26,16,Dinner
U0629,2025-12-16,1063,45,24,Breakfast
U0688,2025-11-26,693,33,34,Breakfast
U0955,2025-11-14,724,51,22,Dinner
U0130,2025-11-17,921,58,32,Lunch
U0990,2025-11-04,699,33,24,Dinner
U0985,2025-10-27,988,29,29,Breakfast
U0050,2025-12-07,633,20,26,Dinner
U0045,2025-11-20,420,29,42,Lunch
U0776,2025-11-23,690,46,32,Dinner
U0395,2025-11-17,963,24,47,Breakfast
U0829,2025-12-12,457,40,26,Dinner
U0129,2025-11-05,1151,26,41,Dinner
U0078,2025-11-11,549,52,49,Lunch
U0704,2025-10-21,664,50,43,Lunch
U0909,2025-11-29,639,50,43,Lunch
U0970,2025-11-16,757,49,49,Breakfast
U0737,2025-12-03,621,31,35,Dinner
U0809,2025-11-18,1196,35,18,Dinner
U0141,2025-10-19,845,46,40,Breakfast
U0068,2025-11-27,423,38,36,Breakfast
U0555,2025-11-20,1120,20,15,Lunch
U0445,2025-11-19,1009,49,27,Breakfast
U0758,2025-10-29,514,59,42,Lunch
U0374,2025-11-23,402,44,45,Dinner
U0952,2025-12-11,934,35,30,Breakfast
U0461,2025-11-27,747,51,27,Lunch
U0293,2025-11-09,504,53,41,Lunch
U0713,2025-11-29,803,57,17,Dinner
U0858,2025-10-23,815,45,50,Lunch
U0394,2025-12-15,1028,51,33,Dinner
U0717,2025-11-04,1038,26,23,Dinner
U0315,2025-11-14,702,57,45,Lunch
U0259,2025-12-09,524,45,41,Lunch
U0182,2025-12-15,662,41,24,Breakfast
U0661,2025-10-23,1135,35,37,Dinner
U0613,2025-11-08,653,48,15,Lunch
U0204,2025-12-01,1172,45,15,Dinner
U0182,2025-11-16,1050,26,20,Lunch
U0808,2025-11-27,406,45,43,Breakfast
U0744,2025-11-30,1164,22,16,Dinner
U0460,2025-11-17,853,50,24,Breakfast
U0957,2025-12-01,568,24,45,Breakfast
U0825,2025-12-11,938,29,20,Breakfast
U0194,2025-12-10,753,30,28,Breakfast
U0803,2025-11-02,495,56,15,Dinner
U0528,2025-11-17,1105,56,20,Lunch
U0023,2025-11-24,450,57,26,Breakfast
U0953,2025-11-24,494,59,37,Lunch
U0057,2025-10-28,921,53,37,Breakfast
U0227,2025-11-22,757,43,49,Breakfast
U0328,2025-11-06,1035,41,35,Dinner
U0855,2025-11-16,1150,36,18,Lunch
U0224,2025-12-02,498,38,36,Dinner
U0198,2025-10-20,601,49,27,Breakfast
U0179,2025-11-24,951,42,49,Dinner
U0220,2025-11-06,568,40,30,Lunch
U0647,2025-10-23,650,41,26,Dinner
U0990,2025-11-07,786,23,49,Breakfast
U0195,2025-11-22,1130,42,47,Breakfast
U0244,2025-10-30,481,28,34,Lunch
U0294,2025-11-30,934,54,49,Dinner
U0067,2025-11-25,762,22,38,Lunch
U0569,2025-11-14,534,57,21,Lunch
U0611,2025-10-26,525,47,45,Lunch
U0175,2025-11-12,955,49,32,Breakfast
U0121,2025-12-09,758,53,17,Breakfast
U0983,2025-11-01,672,46,21,Breakfast
U0500,2025-11-04,830,35,36,Dinner
U0384,2025-10-29,1140,31,44,Dinner
U0461,2025-11-07,1163,44,33,Dinner
U0138,2025-12-06,645,58,26,Dinner
U0139,2025-10-19,1166,22,43,Breakfast
U0158,2025-12-12,1070,45,39,Lunch
U0313,2025-11-06,1060,47,28,Breakfast
U0119,2025-12-02,1017,51,15,Breakfast
U0240,2025-10-24,793,37,37,Breakfast
U0953,2025-12-09,749,43,38,Lunch
U0639,2025-11-09,522,45,34,Dinner
U0924,2025-10-30,1109,41,45,Dinner
U0715,2025-11-09,1029,38,38,Breakfast
U0850,2025-11-30,765,24,46,Breakfast
U0535,2025-10-23,959,36,18,Breakfast
U0936,2025-12-12,1035,43,34,Breakfast
U0656,2025-11-08,848,53,27,Dinner
U0190,2025-11-30,458,34,38,Breakfast
U0104,2025-11-13,646,42,24,Dinner
U0607,2025-11-15,539,35,21,Dinner
U0225,2025-12-11,770,20,30,Breakfast
U0024,2025-12-16,840,53,38,Breakfast
U0882,2025-11-22,612,55,38,Dinner
U0009,2025-10-31,1075,39,30,Breakfast
U0631,2025-11-09,1109,39,44,Dinner
U0889,2025-11-01,747,29,41,Breakfast
U0645,2025-11-13,1031,23,48,Lunch
U0394,2025-11-25,1073,55,47,Breakfast
U0002,2025-11-17,915,25,37,Lunch
U0169,2025-11-14,1105,52,22,Breakfast
U0865,2025-11-24,422,60,33,Breakfast
U0098,2025-11-16,804,55,43,Breakfast
U0791,2025-11-20,1004,27,25,Lunch
U0789,2025-11-21,634,33,25,Lunch
U0627,2025-10-30,993,29,39,Dinner
U0790,2025-12-08,1096,50,25,Lunch
U0222,2025-11-22,529,49,32,Breakfast
U0004,2025-11-09,731,28,23,Dinner
U0643,2025-11-12,693,26,18,Lunch
U0864,2025-10-20,1141,52,32,Lunch
U0590,2025-12-13,557,38,38,Breakfast
U0571,2025-11-21,803,44,20,Breakfast
U0333,2025-11-16,539,28,27,Breakfast
U0914,2025-11-27,616,32,20,Breakfast
U0239,2025-11-11,494,23,21,Dinner
U0523,2025-12-05,926,40,38,Breakfast
U0482,2025-11-21,520,53,26,Lunch
U0151,2025-11-26,1159,45,27,Lunch
U0833,2025-12-06,614,25,42,Breakfast
U0474,2025-11-12,515,23,46,Breakfast
U0759,2025-11-02,888,59,45,Lunch
U0519,2025-12-15,417,23,26,Dinner
U0552,2025-11-04,712,43,16,Lunch
U0184,2025-12-04,571,20,41,Dinner
U0139,2025-11-30,661,42,26,Dinner
U0080,2025-10-20,415,46,37,Lunch
U0518,2025-12-05,810,60,24,Dinner
U0593,2025-11-18,756,28,23,Dinner
U0176,2025-10-22,1106,53,29,Breakfast
U0072,2025-11-21,862,38,45,Breakfast
U0780,2025-11-24,656,35,37,Breakfast
U0626,2025-12-17,814,60,18,Lunch
U0346,2025-11-08,709,39,50,Dinner
U0344,2025-11-25,798,34,38,Dinner
U0843,2025-10-31,806,30,29,Breakfast
U0149,2025-11-15,833,42,22,Lunch
U0896,2025-10-29,1185,33,18,Breakfast
U0726,2025-11-26,1000,27,35,Lunch
U0541,2025-12-12,931,48,32,Breakfast
U0660,2025-11-10,803,29,40,Breakfast
U0902,2025-11-11,763,20,46,Dinner
U0534,2025-10-22,788,29,16,Breakfast
U1000,2025-11-14,970,45,36,Dinner
U0417,2025-10-30,557,46,20,Lunch
U0997,2025-12-02,699,29,40,Dinner
U0777,2025-11-30,1046,34,24,Dinner
U0282,2025-12-04,1116,57,16,Lunch
U0784,2025-12-09,789,31,50,Lunch
U0522,2025-11-06,624,46,32,Lunch
U0747,2025-11-16,657,21,38,Lunch
U0626,2025-11-25,625,60,41,Dinner
U0091,2025-11-15,901,59,49,Lunch
U0867,2025-10-31,679,51,46,Dinner
U0988,2025-10-22,883,36,28,Lunch
U0034,2025-12-02,709,20,28,Dinner
U0484,2025-11-08,685,46,27,Lunch
U0502,2025-11-09,1151,46,26,Breakfast
U0528,2025-10-26,1073,54,16,Breakfast
U0903,2025-11-08,581,50,49,Lunch
U0410,2025-12-15,913,33,33,Breakfast
U0871,2025-11-04,970,59,38,Breakfast
U0167,2025-11-06,505,30,38,Dinner
U0097,2025-10-23,583,39,46,Dinner
U0195,2025-10-29,1050,35,20,Dinner
U0579,2025-12-17,739,27,46,Dinner
U0061,2025-11-19,1000,38,24,Breakfast
U0067,2025-11-15,1121,48,49,Breakfast
U0933,2025-12-06,1078,57,35,Breakfast
U0695,2025-11-27,929,47,38,Dinner
U0588,2025-12-01,535,24,41,Lunch
U0630,2025-10-19,1176,31,23,Breakfast
U0569,2025-11-03,879,40,30,Breakfast
U0361,2025-12-07,466,56,33,Dinner
U0425,2025-11-12,727,30,50,Dinner
U0402,2025-10-31,744,53,43,Dinner
U0645,2025-12-14,1145,43,23,Breakfast
U0552,2025-11-09,725,23,20,Lunch
U0854,2025-10-31,1188,51,46,Lunch
U0432,2025-11-21,754,39,30,Dinner
U0230,2025-11-10,970,33,24,Lunch
U0449,2025-12-17,1087,36,30,Dinner
U0152,2025-11-07,508,36,36,Lunch
U0290,2025-11-01,1123,42,33,Lunch
U0269,2025-10-24,967,28,21,Lunch
U0639,2025-11-24,792,20,42,Dinner
U0810,2025-10-30,558,38,42,Lunch
U0085,2025-11-29,674,48,38,Breakfast
U0977,2025-10-23,557,26,43,Breakfast
U0633,2025-12-10,758,42,29,Lunch
U0632,2025-11-27,735,26,15,Dinner
U0177,2025-10-20,434,46,20,Breakfast
U0628,2025-10-28,820,49,27,Breakfast
U0357,2025-10-28,646,53,24,Lunch
U0813,2025-10-22,1086,44,35,Dinner
U0748,2025-11-11,510,29,16,Dinner
U0069,2025-11-19,612,52,42,Breakfast
U0757,2025-11-25,1044,41,27,Lunch
U0902,2025-11-18,746,53,31,Breakfast
U0197,2025-11-13,522,57,42,Breakfast
U0594,2025-12-06,1033,41,18,Lunch
U0719,2025-12-09,829,44,26,Lunch
U0218,2025-10-28,586,35,42,Dinner
U0468,2025-12-11,848,25,45,Breakfast
U0149,2025-11-07,508,54,31,Lunch
U0987,2025-12-09,700,28,26,Dinner
U0119,2025-11-29,1130,38,31,Lunch
U0389,2025-12-02,708,40,17,Dinner
U0271,2025-11-25,804,48,30,Breakfast
U0867,2025-11-15,709,42,27,Lunch
U0013,2025-11-23,505,36,17,Lunch
U0774,2025-12-10,536,22,15,Lunch
U0393,2025-10-20,428,35,17,Breakfast
U0746,2025-12-02,1101,26,39,Lunch
U0577,2025-11-03,1050,54,18,Breakfast
U0616,2025-11-01,733,40,19,Lunch
U0012,2025-11-13,481,60,43,Breakfast
U0492,2025-11-24,843,25,48,Lunch
U0952,2025-10-23,879,48,31,Lunch
U0364,2025-11-26,851,56,45,Dinner
U0212,2025-11-21,978,52,18,Breakfast
U0371,2025-11-26,586,43,24,Breakfast
U0728,2025-11-05,753,22,40,Lunch
U0810,2025-11-18,920,55,36,Dinner
U0548,2025-12-12,1024,48,25,Dinner
U0306,2025-10-27,942,48,35,Lunch
U0369,2025-10-25,981,28,18,Dinner
U0360,2025-11-25,676,39,41,Lunch
U0922,2025-10-23,993,49,44,Dinner
U0964,2025-10-29,1136,22,25,Lunch
U0779,2025-10-21,432,35,49,Dinner
U0650,2025-12-17,470,58,43,Lunch
U0907,2025-12-08,1021,32,40,Lunch
U0653,2025-12-16,1149,49,29,Dinner
U0397,2025-11-02,1082,58,32,Lunch
U0807,2025-11-05,1191,47,24,Dinner
U0552,2025-12-01,402,37,17,Breakfast
U0938,2025-11-17,665,56,43,Breakfast
U0437,2025-12-05,934,56,44,Breakfast
U0510,2025-11-26,863,56,24,Dinner
U0096,2025-11-27,867,41,18,Dinner
U0433,2025-11-24,915,20,41,Breakfast
U0638,2025-10-30,1114,46,22,Dinner
U0412,2025-12-16,982,46,35,Breakfast
U0520,2025-11-03,1048,59,39,Lunch
U0945,2025-12-06,509,56,37,Breakfast
U0384,2025-10-19,565,20,38,Lunch
U0014,2025-12-08,1132,59,38,Breakfast
U0108,2025-11-18,519,38,31,Lunch
U0167,2025-11-21,478,25,33,Dinner
U0722,2025-10-23,571,58,45,Dinner
U0806,2025-12-12,673,36,18,Lunch
U0303,2025-11-27,732,33,18,Lunch
U0045,2025-10-29,1152,41,38,Lunch
U0319,2025-10-26,933,48,19,Breakfast
U0543,2025-10-21,565,32,15,Breakfast
U0140,2025-11-17,766,37,26,Dinner
U0108,2025-10-19,616,20,16,Breakfast
U0649,2025-11-15,962,25,44,Dinner
U0172,2025-12-02,445,30,43,Dinner
U0888,2025-11-12,584,37,43,Dinner
U0564,2025-12-05,1153,57,35,Breakfast
U0572,2025-12-07,456,32,16,Breakfast
U0059,2025-10-27,475,20,30,Lunch
U0155,2025-12-04,872,31,35,Lunch
U0225,2025-12-16,1015,59,33,Lunch
U0994,2025-11-12,771,48,37,Breakfast
U0638,2025-12-10,623,40,30,Dinner
U0012,2025-10-30,1167,40,33,Breakfast
U0392,2025-12-05,460,29,26,Breakfast
U0822,2025-12-06,413,38,23,Lunch
U0685,2025-10-26,732,30,29,Lunch
U0588,2025-12-07,537,34,31,Breakfast
U0733,2025-12-07,1004,60,15,Lunch
U0624,2025-12-10,951,28,28,Dinner
U0278,2025-12-04,751,56,19,Dinner
U0941,2025-11-06,444,24,32,Lunch
U0138,2025-11-07,750,43,50,Lunch
U0722,2025-10-31,587,41,36,Breakfast
U0799,2025-12-13,882,50,43,Lunch
U0284,2025-11-03,599,38,25,Dinner
U0226,2025-11-03,567,33,19,Dinner
U0279,2025-12-04,870,40,32,Lunch
U0989,2025-11-08,531,30,39,Dinner
U0767,2025-11-08,933,35,19,Dinner
U0477,2025-11-01,1143,41,44,Breakfast
U0269,2025-10-20,697,33,20,Lunch
U0514,2025-10-28,1015,32,26,Lunch
U0663,2025-10-29,701,24,34,Lunch
U0545,2025-11-28,528,57,26,Dinner
U0464,2025-11-28,1200,36,33,Dinner
U0836,2025-12-02,569,44,45,Lunch
U0950,2025-11-10,406,53,19,Lunch
U0718,2025-11-29,456,36,15,Breakfast
U0395,2025-12-07,404,38,33,Dinner
U0643,2025-11-29,1139,51,26,Breakfast
U0316,2025-12-10,1194,55,43,Breakfast
U0385,2025-10-19,670,50,38,Dinner
U0091,2025-11-14,472,45,47,Dinner
U0882,2025-10-24,769,46,32,Dinner
U0566,2025-10-27,1170,23,43,Breakfast
U0450,2025-10-19,676,44,40,Breakfast
U0337,2025-11-26,961,33,42,Dinner
U0967,2025-11-03,701,29,30,Dinner
U0024,2025-10-20,420,43,29,Dinner
U0646,2025-10-19,862,34,25,Dinner
U0888,2025-12-06,1042,24,38,Lunch
U0947,2025-11-27,407,36,16,Lunch
U0180,2025-10-31,550,59,24,Breakfast
U0034,2025-11-09,1181,40,26,Dinner
U0595,2025-11-16,567,59,20,Lunch
U0006,2025-12-11,578,47,15,Dinner
U0736,2025-11-01,623,35,19,Breakfast
U0155,2025-11-04,1127,45,42,Breakfast
U0400,2025-11-04,471,23,50,Lunch
U0828,2025-11-09,942,45,26,Lunch
U0913,2025-10-20,707,59,23,Breakfast
U0320,2025-11-14,500,42,22,Lunch
U0044,2025-11-18,745,24,20,Breakfast
U0563,2025-11-27,424,54,28,Dinner
U0807,2025-12-17,452,25,48,Dinner
U0629,2025-12-05,403,55,24,Lunch
U0693,2025-11-13,1057,53,24,Dinner
U0197,2025-10-20,1075,50,17,Breakfast
U0607,2025-12-06,765,56,22,Lunch
U0702,2025-12-17,748,46,48,Dinner
U0155,2025-10-26,468,46,16,Dinner
U0957,2025-11-05,947,59,45,Breakfast
U0360,2025-10-25,605,21,37,Lunch
U0992,2025-11-23,413,39,16,Lunch
U0682,2025-12-06,609,39,30,Breakfast
U0315,2025-10-27,793,32,23,Lunch
U0936,2025-11-12,1053,59,40,Lunch
U0171,2025-11-08,523,42,48,Breakfast
U0104,2025-11-15,773,32,20,Breakfast
U0474,2025-11-26,561,53,43,Breakfast
U0586,2025-10-21,1181,26,49,Breakfast
U0465,2025-10-20,833,33,26,Dinner
U0912,2025-10-30,787,49,23,Breakfast
U0519,2025-12-10,723,24,26,Dinner
U0222,2025-11-15,1035,33,44,Lunch
U0622,2025-12-01,763,55,23,Dinner
U0966,2025-12-12,1153,37,49,Lunch
U0543,2025-11-23,405,28,17,Breakfast
U0962,2025-10-26,1005,25,35,Breakfast
U0280,2025-11-11,989,31,46,Dinner
U0318,2025-11-15,464,51,27,Lunch
U0819,2025-11-24,1167,36,16,Dinner
U0025,2025-11-22,469,59,41,Breakfast
U0396,2025-11-02,1178,41,26,Lunch
U0784,2025-11-16,697,23,35,Lunch
U0497,2025-11-26,710,20,33,Breakfast
U0157,2025-11-27,991,20,47,Breakfast
U0560,2025-12-13,1111,22,30,Breakfast
U0210,2025-12-01,449,41,24,Lunch
U0885,2025-12-01,410,55,20,Lunch
U0586,2025-11-12,1144,54,38,Lunch
U0177,2025-12-17,1118,41,25,Dinner
U0359,2025-12-12,666,28,44,Lunch
U0492,2025-11-17,528,20,48,Lunch
U0305,2025-12-02,881,47,22,Breakfast
U0477,2025-10-21,836,20,27,Lunch
U0569,2025-11-17,1071,38,19,Dinner
U0107,2025-12-07,889,38,32,Lunch
U0096,2025-12-01,728,58,45,Lunch
U0762,2025-12-05,472,24,20,Lunch
U0936,2025-12-13,703,38,42,Dinner
U0195,2025-11-17,1160,36,36,Lunch
U0438,2025-11-06,970,58,31,Breakfast
